frame_id,obstacle_id,obstacle_class,stop_count,cuboid_x,cuboid_y,cuboid_z,obs_heading,obs_x,obs_y,obs_vx,obs_vy,obs_speed,rel_x,rel_y,dist_to_ego,rel_vx,rel_vy,ego_speed,ego_heading,ego_yaw_rate,dist_to_path,along_path_s,heading_vs_path,y_s1,y_s2,y_s3,y_s4,y_s5,y_s6,y_s9,y_s10,c_s1,c_s2,c_s3,c_s4,c_s5,c_s6,c_s9,c_s10
1774260938434,305,42,255,1.104420,0.300000,0.736158,180.016558,922.213282,362.136880,-0.000055,0.000002,0.000055,750.180537,-281.610928,801.296171,-0.546252,-0.056217,0.549083,275.810108,0.042042,153.902841,790.088518,-89.983442,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,304,42,255,0.654825,0.300000,0.385128,361.375281,874.667422,382.388923,0.000027,-0.000002,0.000027,702.634677,-261.358885,749.669231,-0.546170,-0.056220,0.549083,275.810108,0.042042,106.378252,771.963679,64.810229,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,271,1,106,4.826213,4.500000,5.537363,1279.636465,850.330944,631.540591,0.256040,-0.717589,0.761899,678.298198,-12.207217,678.408035,-0.290157,-0.773807,0.549083,275.810108,0.042042,141.314120,582.520960,-160.363535,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,268,42,82,0.851441,0.300000,0.489498,1118.945187,757.063833,666.534028,0.000000,-0.000001,0.000001,585.031088,22.786220,585.474667,-0.546197,-0.056219,0.549083,275.810108,0.042042,110.093421,582.520960,38.945187,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,257,42,177,1.012540,0.300000,0.557838,1086.057044,876.764395,441.507215,0.000003,0.000000,0.000003,704.731649,-202.240593,733.176619,-0.546194,-0.056218,0.549083,275.810108,0.042042,124.393984,765.686125,69.491993,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,248,42,221,1.243614,0.300000,0.828939,1451.567051,766.041541,700.935369,-2.429633,11.870900,12.116988,594.008796,57.187561,596.755282,-2.975830,11.814682,0.549083,275.810108,0.042042,145.645843,582.520960,11.567051,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,191,42,255,0.853973,0.300000,0.518996,983.031363,635.431575,697.064431,-0.000002,0.000030,0.000030,463.398830,53.316622,466.455933,-0.546199,-0.056188,0.549083,275.810108,0.042042,136.802711,489.642094,-96.968637,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,192,41,255,1.304956,0.300000,2.310305,1211.960198,454.181105,637.546460,-0.102206,-0.091925,0.137463,282.148360,-6.201348,282.216501,-0.648403,-0.148143,0.549083,275.810108,0.042042,67.284741,304.249488,131.960198,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,319,42,76,0.909435,0.300000,0.768673,1149.261720,758.548610,680.636409,0.000001,-0.000003,0.000003,586.515864,36.888600,587.674764,-0.546197,-0.056222,0.549083,275.810108,0.042042,124.114514,582.520960,69.261720,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,413,42,166,1.473553,0.300000,0.836203,1398.461872,916.181151,469.361960,9.357067,0.256503,9.360582,744.148406,-174.385848,764.308363,8.810870,0.200285,0.549083,275.810108,0.042042,167.870710,678.142079,48.461872,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,236,42,225,0.713731,0.300000,0.401408,1097.185571,796.705868,706.183437,0.000003,-0.000002,0.000004,624.673123,62.435629,627.785567,-0.546194,-0.056220,0.549083,275.810108,0.042042,161.155460,582.520960,17.185571,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,258,42,255,0.827009,0.300000,0.537467,180.180547,831.823897,435.141550,-0.000035,0.000003,0.000035,659.791151,-208.606258,691.983334,-0.546232,-0.056215,0.549083,275.810108,0.042042,81.351168,751.281747,-116.384504,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,414,42,165,1.201952,0.300000,0.790628,1081.570245,939.430515,465.514538,0.000006,-0.000001,0.000006,767.397770,-178.233271,787.823861,-0.546191,-0.056219,0.549083,275.810108,0.042042,191.120074,681.989501,91.570245,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,355,42,171,1.034792,0.300000,0.591212,1084.569619,899.389253,443.936394,0.000005,-0.000001,0.000005,727.356508,-199.811414,754.302387,-0.546192,-0.056219,0.549083,275.810108,0.042042,145.726179,771.963679,68.004567,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260938434,237,42,255,0.690526,0.300000,0.580346,983.014234,606.469123,699.789450,-0.000001,0.000020,0.000020,434.436377,56.041642,438.036107,-0.546198,-0.056199,0.549083,275.810108,0.042042,139.527731,460.679641,-96.985766,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
